date,equity
2025-08-07,1000000.0
2025-08-08,1000000.0
2025-08-11,1000000.0
2025-08-12,1000000.0
2025-08-13,1000000.0
2025-08-14,1000000.0
2025-08-15,1000000.0
2025-08-18,1000000.0
2025-08-19,1000000.0
2025-08-20,1000000.0
2025-08-21,1000000.0
2025-08-22,1000000.0
2025-08-25,1000000.0
2025-08-26,1000000.0
2025-08-27,1000020.1577085111
2025-08-28,1001120.1577085109
2025-08-29,1000495.1087210944
2025-09-01,1000495.1087210944
2025-09-02,1000495.1087210944
2025-09-03,1000495.1087210944
2025-09-04,1000495.1087210944
2025-09-05,1000495.1087210944
2025-09-08,1000495.1087210944
2025-09-09,1000495.1087210944
2025-09-10,1000495.1087210944
2025-09-11,1000495.1087210944
2025-09-12,1000495.1087210944
2025-09-15,1000323.7162210945
2025-09-16,999659.1961649635
2025-09-17,999659.1961649635
2025-09-18,999659.1961649635
2025-09-19,999659.1961649635
2025-09-22,999659.1961649635
2025-09-23,999659.1961649635
2025-09-24,999659.1961649635
2025-09-25,999659.1961649635
2025-09-26,999659.1961649635
2025-09-29,999659.1961649635
2025-09-30,999659.1961649635
2025-10-01,999659.1961649635
2025-10-02,999659.1961649635
2025-10-03,999327.5635347195
2025-10-06,999327.5635347195
2025-10-07,1000127.5635347195
2025-10-08,1000077.5635347194
2025-10-09,999817.4984151443
2025-10-10,999817.4984151443
2025-10-13,999499.5971651443
2025-10-14,1000199.597165144
2025-10-15,1002499.597165144
2025-10-16,1001238.0804833428
2025-10-17,1001238.0804833428
2025-10-20,1001238.0804833428
2025-10-21,1001238.0804833428
2025-10-22,1001238.0804833428
2025-10-23,1001238.0804833428
2025-10-24,1001238.0804833428
2025-10-27,1001238.0804833428
2025-10-28,1001238.0804833428
2025-10-29,1001238.0804833428
2025-10-30,1001238.0804833428
2025-10-31,1001238.0804833428
2025-11-03,1001014.1533925756
2025-11-04,1000014.1533925757
2025-11-05,999714.1533925758
2025-11-06,1000364.1533925758
2025-11-07,999564.1533925758
2025-11-10,998564.1533925758
2025-11-11,998414.1533925758
2025-11-12,998514.1533925759
2025-11-13,999364.1533925758
2025-11-14,998564.1533925758
2025-11-17,998014.1533925758
2025-11-18,996814.1533925758
2025-11-19,996214.1533925758
2025-11-20,996614.1533925758
2025-11-21,996214.1533925757
2025-11-24,997564.1533925757
2025-11-25,998064.1533925757
2025-11-26,997767.2408925757
2025-11-27,997767.2408925757
2025-11-28,997767.2408925757
2025-12-01,997767.2408925757
2025-12-02,997767.2408925757
2025-12-03,997767.2408925757
2025-12-04,997767.2408925757
2025-12-05,997767.2408925757
2025-12-08,997767.2408925757
2025-12-09,997767.2408925757
2025-12-10,997767.2408925757
2025-12-11,997270.1295388679
2025-12-12,997070.1295388679
2025-12-15,997220.1295388679
2025-12-16,996970.1295388679
2025-12-17,997020.1295388679
2025-12-18,997670.1295388679
2025-12-19,997720.1295388679
2025-12-22,998520.1295388679
2025-12-23,998120.1295388677
2025-12-24,997918.3495388677
2025-12-25,997918.3495388677
2025-12-26,997918.3495388677
2025-12-29,997778.968445337
2025-12-30,997428.968445337
2025-12-31,997378.968445337
2026-01-01,997378.968445337
2026-01-02,997178.968445337
2026-01-05,996528.9684453371
2026-01-06,997028.968445337
2026-01-07,997378.9684453371
2026-01-08,997728.9684453371
2026-01-09,997128.9684453371
2026-01-12,997228.9684453373
2026-01-13,996778.9684453373
2026-01-14,997978.9684453371
2026-01-15,998028.9684453371
2026-01-16,997657.3080869666
2026-01-19,997657.3080869666
2026-01-20,997657.3080869666
2026-01-21,997657.3080869666
2026-01-22,997657.3080869666
2026-01-23,997657.3080869666
2026-01-26,997657.3080869666
2026-01-27,997657.3080869666
2026-01-28,997657.3080869666
2026-01-29,997343.3255869666
2026-01-30,996543.3255869666
2026-02-02,1000893.3255869667
2026-02-03,1004393.3255869668
2026-02-04,1004158.8283062852
2026-02-05,1004158.8283062852
2026-02-06,1004158.8283062852
2026-02-09,1004158.8283062852
2026-02-10,1004158.8283062852
2026-02-11,1004158.8283062852
2026-02-12,1004158.8283062852
2026-02-13,1004158.8283062852
2026-02-16,1004158.8283062852
2026-02-17,1004158.8283062852
2026-02-18,1004158.8283062852
2026-02-19,1004158.8283062852
2026-02-20,1004158.8283062852
2026-02-23,1004158.8283062852
2026-02-24,1004158.8283062852
2026-02-25,1004158.8283062852
2026-02-26,1004158.8283062852
2026-02-27,1004158.8283062852
2026-03-02,1004158.8283062852
2026-03-03,1004158.8283062852
2026-03-04,1002495.9858062852
2026-03-05,1003595.9858062853
2026-03-06,1004145.9858062853
2026-03-09,1002995.9858062854
2026-03-10,1002745.9858062853
2026-03-11,1003445.9858062852
2026-03-12,1004495.9858062852
2026-03-13,1004695.9858062852
2026-03-16,1004597.7458062852
2026-03-17,1004597.7458062852
2026-03-18,1004597.7458062852
2026-03-19,1004597.7458062852
2026-03-20,1004597.7458062852
2026-03-23,1004597.7458062852
2026-03-24,1004597.7458062852
2026-03-25,1004597.7458062852
2026-03-26,1004597.7458062852
2026-03-27,1004597.7458062852
2026-03-30,1004597.7458062852
2026-03-31,1004597.7458062852
2026-04-01,1004597.7458062852
2026-04-02,1003778.0666997549
2026-04-03,1003778.0666997549
2026-04-06,1003778.0666997549
2026-04-07,1003828.0666997548
2026-04-08,1004728.0666997547
2026-04-09,1004378.0666997546
2026-04-10,1004528.0666997544
2026-04-13,1005878.0666997544
2026-04-14,1006278.0666997546
2026-04-15,1005860.4457912892
2026-04-16,1005860.4457912892
2026-04-17,1005860.4457912892
2026-04-20,1005860.4457912892
2026-04-21,1005860.4457912892
2026-04-22,1005860.4457912892
2026-04-23,1005860.4457912892
2026-04-24,1005860.4457912892
