date,equity
2023-08-09,1000000.0
2023-08-10,1000000.0
2023-08-11,1000000.0
2023-08-14,1000000.0
2023-08-15,1000000.0
2023-08-16,1000000.0
2023-08-17,1000000.0
2023-08-18,1000000.0
2023-08-21,1000000.0
2023-08-22,1000000.0
2023-08-23,1000000.0
2023-08-24,1000000.0
2023-08-25,1000000.0
2023-08-28,1000000.0
2023-08-29,1000000.0
2023-08-30,1000000.0
2023-08-31,1000000.0
2023-09-01,1000000.0
2023-09-04,1000000.0
2023-09-05,1000000.0
2023-09-06,1000000.0
2023-09-07,999689.0868547207
2023-09-08,998783.7744025158
2023-09-11,998783.7744025158
2023-09-12,998783.7744025158
2023-09-13,998783.7744025158
2023-09-14,998783.7744025158
2023-09-15,998783.7744025158
2023-09-18,998783.7744025158
2023-09-19,998783.7744025158
2023-09-20,998783.7744025158
2023-09-21,998783.7744025158
2023-09-22,998783.7744025158
2023-09-25,998783.7744025158
2023-09-26,998783.7744025158
2023-09-27,998783.7744025158
2023-09-28,998783.7744025158
2023-09-29,998783.7744025158
2023-10-02,998783.7744025158
2023-10-03,998783.7744025158
2023-10-04,998783.7744025158
2023-10-05,998783.7744025158
2023-10-06,998783.7744025158
2023-10-09,998783.7744025158
2023-10-10,998783.7744025158
2023-10-11,998783.7744025158
2023-10-12,998783.7744025158
2023-10-13,998783.7744025158
2023-10-16,998783.7744025158
2023-10-17,998783.7744025158
2023-10-18,999954.3811434722
2023-10-19,1004430.0088490341
2023-10-20,1003451.8030444565
2023-10-23,1003451.8030444565
2023-10-24,1003451.8030444565
2023-10-25,1003451.8030444565
2023-10-26,1003527.7415082931
2023-10-27,1002489.9956042203
2023-10-30,1000967.9033156687
2023-10-31,1000127.8560419602
2023-11-01,1000127.8560419602
2023-11-02,1000127.8560419602
2023-11-03,1000127.8560419602
2023-11-06,1000127.8560419602
2023-11-07,1000127.8560419602
2023-11-08,1000127.8560419602
2023-11-09,1000127.8560419602
2023-11-10,1000127.8560419602
2023-11-13,1000127.8560419602
2023-11-14,1000127.8560419602
2023-11-15,1000127.8560419602
2023-11-16,1000127.8560419602
2023-11-17,1000127.8560419602
2023-11-20,1000127.8560419602
2023-11-21,1000127.8560419602
2023-11-22,1000127.8560419602
2023-11-23,1000127.8560419602
2023-11-24,1000127.8560419602
2023-11-27,1000127.8560419602
2023-11-28,1000127.8560419602
2023-11-29,1000127.8560419602
2023-11-30,1000127.8560419602
2023-12-01,1000127.8560419602
2023-12-04,1000127.8560419602
2023-12-05,1000127.8560419602
2023-12-06,1000127.8560419602
2023-12-07,1000127.8560419602
2023-12-08,997394.1452740853
2023-12-11,997319.0148084846
2023-12-12,995817.813899317
2023-12-13,993646.1405028824
2023-12-14,993418.2661099671
2023-12-15,994980.7952277048
2023-12-18,992926.5116935063
2023-12-19,992466.3792334326
2023-12-20,991589.3282397422
2023-12-21,992002.282114503
2023-12-22,988815.8702883489
2023-12-25,989777.3604507784
2023-12-26,989123.3416542605
2023-12-27,989220.5504251268
2023-12-28,987149.2201545475
2023-12-29,987102.5941233702
2024-01-01,986580.8667135584
2024-01-02,985459.3388305447
2024-01-03,986123.7194379184
2024-01-04,986297.9518345129
2024-01-05,987231.6040448343
2024-01-08,987823.9530080357
2024-01-09,988162.0789431608
2024-01-10,987656.7179151599
2024-01-11,989624.2702248908
2024-01-12,987490.5124922629
2024-01-15,988012.7177074199
2024-01-16,990183.5779779691
2024-01-17,991630.8622505014
2024-01-18,993462.5623371905
2024-01-19,992247.3865072298
2024-01-22,991325.7978084856
2024-01-23,989557.8141218435
2024-01-24,991677.121444677
2024-01-25,989832.3597480243
2024-01-26,988554.0988397019
2024-01-29,988516.6584994035
2024-01-30,987116.0399385856
2024-01-31,985632.2236949172
2024-02-01,982996.8692178061
2024-02-02,985044.3537479207
2024-02-05,982902.9893474189
2024-02-06,987091.1998840014
2024-02-07,987305.1496445691
2024-02-08,986664.8891210202
2024-02-09,986664.8891210202
2024-02-12,986664.8891210202
2024-02-13,986664.8891210202
2024-02-14,988484.1679423439
2024-02-15,988857.5292648481
2024-02-16,989067.9460174408
2024-02-19,990977.4069071447
2024-02-20,988572.7076676292
2024-02-21,987618.5985486647
2024-02-22,989592.3361287996
2024-02-23,989942.2094766189
2024-02-26,989178.2082923917
2024-02-27,989178.2082923917
2024-02-28,989178.2082923917
2024-02-29,988640.2413770347
2024-03-01,987752.9983892416
2024-03-04,988025.3477467413
2024-03-05,990161.2963928728
2024-03-06,990059.7454439069
2024-03-07,989195.9147288747
2024-03-08,989195.9147288747
2024-03-11,989195.9147288747
2024-03-12,989195.9147288747
2024-03-13,989195.9147288747
2024-03-14,989195.9147288747
2024-03-15,989195.9147288747
2024-03-18,989195.9147288747
2024-03-19,989195.9147288747
2024-03-20,989195.9147288747
2024-03-21,989195.9147288747
2024-03-22,989195.9147288747
2024-03-25,989195.9147288747
2024-03-26,989195.9147288747
2024-03-27,989195.9147288747
2024-03-28,989195.9147288747
2024-03-29,989195.9147288747
2024-04-01,989195.9147288747
2024-04-02,986983.8899126361
2024-04-03,986083.6840781947
2024-04-04,986083.6840781947
2024-04-05,986083.6840781947
2024-04-08,986083.6840781947
2024-04-09,986083.6840781947
2024-04-10,986083.6840781947
2024-04-11,986083.6840781947
2024-04-12,986083.6840781947
2024-04-15,986292.3383573663
2024-04-16,985422.6886921917
2024-04-17,981105.4999160955
2024-04-18,979915.932348687
2024-04-19,979915.932348687
2024-04-22,979915.932348687
2024-04-23,979915.932348687
2024-04-24,979915.932348687
2024-04-25,979915.932348687
2024-04-26,979915.932348687
2024-04-29,979915.932348687
2024-04-30,979915.932348687
2024-05-01,979915.932348687
2024-05-02,979915.932348687
2024-05-03,979915.932348687
2024-05-06,979915.932348687
2024-05-07,979915.932348687
2024-05-08,979915.932348687
2024-05-09,979915.932348687
2024-05-10,979915.932348687
2024-05-13,979915.932348687
2024-05-14,979915.932348687
2024-05-15,979915.932348687
2024-05-16,979915.932348687
2024-05-17,979915.932348687
2024-05-20,979915.932348687
2024-05-21,979915.932348687
2024-05-22,979915.932348687
2024-05-23,979915.932348687
2024-05-24,979915.932348687
2024-05-27,979915.932348687
2024-05-28,979915.932348687
2024-05-29,979915.932348687
