date,equity
2023-08-09,1000000.0
2023-08-10,998973.5197489912
2023-08-11,1000583.6842132676
2023-08-14,999835.5848730671
2023-08-15,1000817.2288424477
2023-08-16,1001226.66289947
2023-08-17,1002590.0611115095
2023-08-18,1001309.8544484824
2023-08-21,1002668.9012126591
2023-08-22,1000692.2195908525
2023-08-23,1001442.467226614
2023-08-24,999731.6755332543
2023-08-25,1001494.1341993291
2023-08-28,1000542.8915350703
2023-08-29,1000036.5726360376
2023-08-30,999905.7021327417
2023-08-31,1000388.3860010864
2023-09-01,996513.0048840899
2023-09-04,997824.0379150556
2023-09-05,999305.1000734259
2023-09-06,1001082.2829736297
2023-09-07,1004161.1909500774
2023-09-08,1003385.9690724663
2023-09-11,1004589.798488293
2023-09-12,1001798.432149098
2023-09-13,1002704.9315928647
2023-09-14,1002008.0883948059
2023-09-15,1002412.1043815109
2023-09-18,1000286.7481757586
2023-09-19,998001.5331226733
2023-09-20,999223.7492460135
2023-09-21,998120.8794427438
2023-09-22,996499.8415058829
2023-09-25,993142.4531157231
2023-09-26,993827.6928168234
2023-09-27,993528.6172438778
2023-09-28,993204.3820520121
2023-09-29,991839.3986836552
2023-10-02,992734.8074708495
2023-10-03,992179.8391022761
2023-10-04,991107.8793125913
2023-10-05,992369.9763711058
2023-10-06,992509.6005281019
2023-10-09,990749.2212360289
2023-10-10,987925.3649941024
2023-10-11,986017.7962067027
2023-10-12,985658.8450931704
2023-10-13,984818.2491353751
2023-10-16,986059.8407581748
2023-10-17,985434.4602714282
2023-10-18,984105.2498857512
2023-10-19,986409.4312789885
2023-10-20,985690.9400592238
2023-10-23,987215.5245409699
2023-10-24,989405.3957180865
2023-10-25,991143.8343866019
2023-10-26,991056.8660483154
2023-10-27,991530.1561149502
2023-10-30,991868.2156023637
2023-10-31,994846.945179967
2023-11-01,994610.8157328683
2023-11-02,994194.6387092818
2023-11-03,994901.4477117321
2023-11-06,996329.2212960942
2023-11-07,996557.07954267
2023-11-08,995465.1310420042
2023-11-09,995215.9428520384
2023-11-10,997246.0335326603
2023-11-13,999571.4822877169
2023-11-14,1000249.1100324917
2023-11-15,1000604.942489082
2023-11-16,998785.948593433
2023-11-17,997628.2625115834
2023-11-20,997628.2625115834
2023-11-21,999412.7471459282
2023-11-22,1000524.9673877514
2023-11-23,1002472.8849341231
2023-11-24,1003422.5761731219
2023-11-27,1002935.8834935473
2023-11-28,1002584.6324670642
2023-11-29,1001697.2855218727
2023-11-30,1001697.2855218727
2023-12-01,1002144.5813100116
2023-12-04,1000963.9956917504
2023-12-05,1000557.3708794136
2023-12-06,999926.7238855166
2023-12-07,1002063.4733468397
2023-12-08,1001793.173990182
2023-12-11,1000675.090059935
2023-12-12,1001268.0241917617
2023-12-13,1001687.6922476472
2023-12-14,1003371.9937497185
2023-12-15,1004156.7864299375
2023-12-18,1003581.9933459677
2023-12-19,1001723.4549288374
2023-12-20,1000733.8042579164
2023-12-21,1000733.8042579164
2023-12-22,1000733.8042579164
2023-12-25,1002085.5806833287
2023-12-26,1004003.8986314368
2023-12-27,1003505.6856732598
2023-12-28,1004078.0495199962
2023-12-29,1003642.5696336571
2024-01-01,1003642.5696336571
2024-01-02,1003642.5696336571
2024-01-03,999530.6029642706
2024-01-04,999620.4397458469
2024-01-05,1000193.5527424961
2024-01-08,1000274.9137354365
2024-01-09,998324.496042987
2024-01-10,1000964.865333928
2024-01-11,999347.8504301892
2024-01-12,1000489.9968537436
2024-01-15,1002205.7024405216
2024-01-16,1001569.4351961784
2024-01-17,1004588.9613853376
2024-01-18,1002987.4337457257
2024-01-19,1003226.8006638889
2024-01-22,1001385.0345234707
2024-01-23,1002050.7557904323
2024-01-24,998749.7501706615
2024-01-25,998210.2181214483
2024-01-26,997868.9293346388
2024-01-29,998061.5880317993
2024-01-30,999406.5840426366
